Godis ej choklad,11
Kakaoprodukter,2
Blodmat,2
Salt,4
Nötter frön,22
Sylt marmelad gelé äppelmos o dyl,18
Soja-  veteprotein o quorn,3
Smör,3
Fisk färsk fryst kokt,68
Fisk o skaldjursprodukter o rätter,69
Köttprodukter kötträtter,80
Socker sirap honung,6
Sås dressing majonnäs,79
Ris risnudlar,25
Smörgåskex,7
Sockerfritt godis,1
Öl,4
Välling,12
Skaldjur bläckfisk färsk fryst kokt,14
Mjöl stärkelse kli,29
Smaksatt fil yoghurt,12
Övrigt,3
Choklad,7
Fågel,39
Kaffe,5
Kryddor,1
Söta soppor kräm o efterrättssås,26
Pastarätter,12
Äggprodukter o rätter,6
Ägg,9
"Hamburgare med  bröd (kött, fisk, fågel, vegetarisk)",5
Soppa mat,47
Senap ketchup HP-sås soja *smaksättare*,11
"Pannkakor, våfflor, crêpes",13
Frukt färsk fryst,42
Saft läsk cider u alkohol,19
Svamp,9
Blodprodukter o rätter,8
Fågelprodukter o rätter,5
Frukt o bär konserverade,17
Fruktjuice mm,22
Hårt bröd,28
Sallad blandad mat,10
Gröt,16
Smältost,8
Vegetabiliska produkter och mjölkersättning,13
Cider alkoläsk drink,3
Inälvor och organ,33
Sylta,3
Inälvor organ produkter o rätter,15
Pasta,21
Starksprit,7
Potatis,31
Matgryn,14
Osträtter,3
Chips popcorn o dyl,11
Kost- o näringspreparat,8
Lightdrycker u energi,4
Te,4
Likör,3
"Baljväxter (bönor, linser och ärter)",51
"Övrigt fett (ister, talg, kokosfett)",4
Flingor - frukostflingor,28
Fisk rökt,13
Övriga sötade drycker vattenchoklad,4
Efterrätter,31
Deg och gräddade skal och bottnar,3
Skaldjur bläckfisk konserverad,6
"Rom, kaviar",6
Dessertost,8
Grönsaks- rotfrukts- baljväxträtter och produkter,55
Fisk stekt ej panerad,7
Naturell fil yoghurt,11
Sötningsmedel,1
Bär färska frysta,24
Hård matfettsblandning,39
Vin,10
Jäst bakpulver,3
Grönsaker,94
Mesvaror,6
Gelatin agar agar,2
Algprodukter,1
Frukt o bär,2
Mjölk,11
Ost med vegetabilskt fett,3
Godis som innehåller choklad,15
Tacoskal,1
Korv,60
Färskost o kvarg,15
Buljong,18
Frukt o bär torkade,14
Pizza paj pirog färdig smörgås,46
Tuggummi,2
"Övrigt animaliskt *kött*, grodlår, sniglar, säl - färskt, fryst, tillagat",1
Riskakor,2
Potatisprodukter o rätter,33
Korvrätter,9
Bullar kakor tårtor mm,86
Sportdrycker energidrycker,2
Mjölkdryck chokladdryck milkshake smothie m yoghurt,5
Grädde creme fraiche,23
Vatten mineralvatten,15
Dryck,1
Rotfrukter,22
Sojaprotein veteprotein Quorn produkter och rätter,3
Grönsaksjuice rotfruktsjuice,4
Grönsaksblandningar med rotfrukter och eller baljväxter,9
Ättika vinäger,3
Majonnässallad röror,6
Kött processat,25
Mjukt bröd,42
Flytande matfettsblandning,7
Glass,25
Risrätter,1
Kött färskt fryst tillagat,127
Hård ost m.m.,11
Olja,15
Frukt o nötblandningar bars,2
